ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
43,1,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,162499,CH-53E,H-53,ROTOR,1/22/2014 23:11,63,
47,1,Archived,103,SQD-9,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,167852,MH-60S,H-60,ROTOR,1/22/2014 23:11,23,
48,1,Archived,103,SQD-9,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,167856,MH-60S,H-60,ROTOR,1/22/2014 23:11,9,
49,1,Archived,103,SQD-9,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,167890,MH-60S,H-60,ROTOR,1/22/2014 23:11,69,
50,2,Archived,103,SQD-9,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,167856,MH-60S,H-60,ROTOR,1/22/2014 23:11,25,
58,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165529,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,84,
61,2,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,166763,KC-130J,C-130,FIXED WING,1/22/2014 23:11,90,
62,2,Archived,103,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,165532,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,38,Crack
63,2,Archived,103,SQD-101,Naples Italy,Italy,EUROPE,14.268124,40.851775,167898,MH-60S,H-60,ROTOR,1/22/2014 23:11,98,BUSHING REPAIR
64,2,Archived,103,SQD-8,Pohang Korea,Korea,PACIFIC,129.354604,36.015563,162525,CH-53E,H-53,ROTOR,1/22/2014 23:11,80,
69,2,Cancelled,0,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,161259,CH-53E,H-53,ROTOR,1/22/2014 23:11,100,
76,2,Archived,103,SQD-26,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,163931,AH-1W,H-1,ROTOR,1/22/2014 23:11,73,PANEL REPAIR
79,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,163087,CH-53E,H-53,ROTOR,1/22/2014 23:11,81,Crack
81,2,Archived,103,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,161259,CH-53E,H-53,ROTOR,1/22/2014 23:11,16,
82,2,Cancelled,0,SQD-16,Djibouti,Djibouti,CENTCOM,42.590275,11.825138,161259,CH-53E,H-53,ROTOR,1/22/2014 23:11,7,
83,2,Archived,103,SQD-2,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,166356,MH-60S,H-60,ROTOR,1/22/2014 23:11,14,BUSHING REPAIR
85,2,Archived,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164653,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,53,
87,1,Archived,103,SQD-3,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,167892,MH-60S,H-60,ROTOR,1/22/2014 23:11,43,
90,2,Archived,103,SQD-130,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,161338,P-3C,P-3,FIXED WING,1/22/2014 23:11,56,Crack
93,2,Cancelled,0,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,165532,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,61,FUEL CELL
94,2,Cancelled,0,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,166356,MH-60S,H-60,ROTOR,1/22/2014 23:11,95,Crack
95,2,Archived,103,SQD-131,NAF Misawa JP,Japan,PACIFIC,141.371341,40.704156,163000,P-3C,P-3,FIXED WING,1/22/2014 23:11,92,Corrosion
98,2,Archived,103,SQD-35,Iwo Jima JP,Japan,PACIFIC,141.321475,24.785368,167858,MH-60S,H-60,ROTOR,1/22/2014 23:11,101,
101,2,Archived,103,SQD-26,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,163932,AH-1W,H-1,ROTOR,1/22/2014 23:11,84,Crack
102,1,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165687,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,85,
109,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165684,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,106,
111,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167983,KC-130J,C-130,FIXED WING,1/22/2014 23:11,102,Crack
112,2,Archived,103,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,165869,FA-18E,F-18 SUPERS,FIXED WING,1/22/2014 23:11,46,
113,2,Archived,103,SQD-131,NAF Misawa JP,Japan,PACIFIC,141.371341,40.704156,163000,P-3C,P-3,FIXED WING,1/22/2014 23:11,37,PANEL REPAIR
115,1,Cancelled,0,SQD-95,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165593,AV-8B,AV-8,FIXED WING,1/22/2014 23:11,92,
117,1,Archived,103,SQD-4,Pohang Korea,Korea,PACIFIC,129.354604,36.015563,163056,MH-53E,H-53,ROTOR,1/22/2014 23:11,118,Crack
120,1,Archived,103,SQD-112,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,167982,KC-130J,C-130,FIXED WING,1/22/2014 23:11,24,
122,1,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165409,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,22,BUSHING REPAIR
123,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165411,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,109,BUSHING REPAIR
124,2,Archived,103,SQD-9,Afghanistan,Afghanistan,CENTCOM,63.800354,31.313168,163075,CH-53E,H-53,ROTOR,1/22/2014 23:11,55,Crack
125,2,Archived,103,SQD-101,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165411,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,77,BUSHING REPAIR
131,2,Archived,103,SQD-100,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164874,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,4,
132,2,Archived,103,SQD-100,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164685,FA-18D,F-18 LEGACY,FIXED WING,1/22/2014 23:11,8,
