ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1669,1,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164667,FA-18D,F-18 LEGACY,FIXED WING,11/25/2014 19:57,8,MINOR DEFECT
1670,2,Complete,102,SQD-40,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,,166320,MH-60S,H-60,ROTOR,11/26/2014 0:29,14,MINOR DEFECT
1671,2,Complete,102,SQD-133,Kadena AB Okinawa JP,Okinawa,PACIFIC,127.961246,26.364453,.,165379,C-130T,C-130,FIXED WING,11/26/2014 1:01,5,MINOR DEFECT
1673,2,Complete,102,SQD-85,USS Vinson,CVN,AFLOAT,64.618,2.8234,R000-00000,166836,FA-18E,F-18 SUPERS,FIXED WING,11/26/2014 1:15,7,CORROSION
1674,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,162469,FA-18A,F-18 LEGACY,FIXED WING,11/26/2014 1:29,23,BUSHING REPAIR
1675,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,163167,FA-18A,F-18 LEGACY,FIXED WING,11/26/2014 1:33,26,BUSHING REPAIR
1676,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,162431,FA-18A,F-18 LEGACY,FIXED WING,11/26/2014 1:36,13,BUSHING REPAIR
1677,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,162409,FA-18A,F-18 LEGACY,FIXED WING,11/26/2014 1:38,17,BUSHING REPAIR
1678,2,Complete,102,SQD-127,"Incirlik, AB, Turkey",Turkey,CENTCOM,32.566996,40.080091,,161589,P-3C,P-3,FIXED WING,11/30/2014 19:07,22,MINOR DEFECT
1679,2,Complete,102,SQD-82,USS Vinson,CVN,AFLOAT,64.618,2.8234,,166810,FA-18F,F-18 SUPERS,FIXED WING,11/30/2014 19:13,17,MINOR DEFECT
1680,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164278,FA-18C,F-18 LEGACY,FIXED WING,11/30/2014 19:18,13,BUSHING REPAIR
1681,2,Complete,102,SQD-120,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,.,162525,CH-53E,H-53,ROTOR,12/1/2014 18:23,33,CRACK
1682,2,Complete,102,SQD-53,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,167033,MH-60R,H-60,ROTOR,12/1/2014 18:40,14,MINOR DEFECT
1683,2,Complete,102,SQD-103,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,166921,FA-18F,F-18 SUPERS,FIXED WING,12/1/2014 20:41,26,FUEL CELL
1684,1,Complete,103,SQD-4,Pohang Korea,Korea,PACIFIC,129.354604,36.015563,.,163066,MH-53E,H-53,ROTOR,12/1/2014 20:45,59,CRACK
1685,2,Complete,102,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166921,FA-18F,F-18 SUPERS,FIXED WING,12/1/2014 20:48,20,CRACK
1686,2,Complete,102,SQD-53,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,167035,MH-60R,H-60,ROTOR,12/2/2014 17:58,43,CRACK
